plant_name,treatment,application,frequency
Abelmoschus_moschatus_medikAmbrette_,Seed powder,Consume with warm water for stomach relief,Once daily
Aegle_marmelos_L._corrêaWood_apple,Fruit pulp,Eat fresh or as juice for digestion,1-2 times daily
Aerva_sanguinolentaKaradia,Whole plant decoction,Drink for kidney health and wound healing,Daily
Aloe_vera_L._burm.FAloe_Vera,Leaf gel,Apply gel for burns or take for digestion,Topical/Oral daily
Alpinia_galanga_L._wildBlue_ginger,Crushed rhizome,Mix with honey for cough or stomach issues,Daily
Andrographis_paniculata_Burm.F._WallGreen_Chiretta,Leaf decoction,Take for fever and immune boost,Once daily
Aquilaria_malaccensisEagle_wood,Resin paste,Apply externally for calming,As needed
Aristolochia_indica_LIndian_Birthwort,Root extract,Traditionally for rheumatic pain,Under supervision
Artemisia_absinthium_LCommon_Wormwood,Leaf tea,Brew and drink for appetite,1-2 times daily
Azadirachta_indica[Meliaceae]Indian_lilac,Neem oil,Apply for skin disease or scalp,As needed
Bacopa_monnieri_L._WettstWater_hyssop,Plant extract,Take for memory/cognitive support,Once daily
Belamcanda_chinensis_L._redoutéBlackberry_lily,Crushed rhizome,Relieves cough and throat ailments,Once daily
Bixa_orellana_LLipstick_tree,Seed powder,For skin use or as food antioxidant,As needed
Boerhavia_diffusaRed_spiderling,Root decoction,Take for kidney/liver support,Once daily
Breynia_androgyna_L._Star_gooseberry,Leaf paste,Apply for cough or take for digestion,As needed
Brucea_mollis_Wall._Ex_KurzKunain,Fruit decoction,Take in fever (medically supervised),Daily
Canna_indica_LIndian_shot,Boiled seeds,Used as diuretic,Once daily
Cassia_fistula_LGolden_Shower_Tree,Pod pulp,Traditional for constipation,Once daily
Catharanthus_roseus_L._G.DonMadagascar_periwinkle,Leaf juice,Ayurveda: diabetes (doctor advice),Once daily
Centella_asiatica_L._UrbAsiatic_pennywort,Leaf juice,Boost healing and memory,Once daily
Chamaecostus_cuspidatus_Nees_&_Mart._Asst._Costus,Leaf paste,Apply for anti-inflammatory,Daily
Cinnamomum_tamala_T.Nees_&_Eberm.,Leaf extract,Add to food for digestion/diabetes,Daily
Cinnamomum_verum_J.PreslTrue_cinnamon,Bark powder,Boil and drink for digestive health,Once daily
Cissus_quadrangularis_LDevils_backbone,Stem paste,Traditionally for bone healing,As prescribed
Citrus_aurantifolia_Christm._SwingleBitter_lime,Fruit juice,Take as vitamin C supplement,Once daily
Clerodendrum_colebrookianum_Walp.East_Indian_Clerodendrum,Leaf decoction,Traditional hypertension remedy,Daily
Clitoria_ternatea_LAsian_pigeon_wings,Flower tea,Enhances memory and reduces anxiety,1-2 times daily
Cloranthus.elatiorTall_chloranthus,Plant tea,General tonic use,Once daily
Crinum_asiaticum_linn.Poison_bulb,Bulb extract,For anti-inflammatory use,As needed
Croton_tiglium_L.Purging_croton,Seed oil,Strong laxative (caution!),Under medical advice
Curculigo_orchioidesGolden_eye_grass,Root powder,For sexual/vitality support,Daily
Curcuma_augustifoliaEast_Indian_arrowroot,Root starch,Add to porridge for digestion,As food additive
Curcuma_caesia_Roxb.Black_turmeric,Fresh rhizome,Apply on wounds or take for pain,Topical/Oral
Curcuma_zedoaria_christm._roscoeWhite_turmeric,Root paste,Antacid and anti-ulcer,After food
Cymbopogon_nardus_L._rendleCitronella_grass,Infused oil,Use as mosquito repellent,As needed
Datura_metalHorn_of_Plenty,Leaf powder,Asthma (smoking - not recommended!),Only under guidance
Dendrobium_nobileNoble_dendrobium,Stem decoction,Herbal tonic,Once daily
Desmodium_gangeticumTick_tree,Root decoction,Traditional antipyretic/tussive,Once daily
Eclipta_prostrataFalse_daisy,Leaf oil,For hair/scalp growth,Topical daily
Elaeocarpus_robustus_RoxbCeylon_Olive,Fruit,Consumed as tonic,As food
Elaeocarpus_serratusIndian_olives_,Fruit,Antioxidant fresh eating,As food
Elettaria_cardamomum_L._maton_elachee,Fruit pulp,Add to tea for digestion,Daily
Eryngium_foetidum_LCulantro,Leaf topping,Culinary use or as digestive aid,In food
Etilingera_elatior_Jack_R.M.Sm.Alpinia_elatior,Flower decoction,Diuretic/anti-inflammatory,Daily
Flemingia_strobilifera_L._W.T.AitonWild_hops,Leaf paste,Apply on skin for rash relief,As needed
Foeniculum_vulgareSweet_fennel,Seed tea,Drink after meals for digestion,After meals
Garcinia_cowa_roxbCowa_mangosteen,Fruit rind decoction,Liver health and fever reduction,Daily
Garcinia_morella_gaertn._Desr.Cowa_Mango,Fresh fruit,For rheumatism,Fresh in season
Garcinia_pedunculata_Roxb._Ex_Buch.Ham.,Dried fruit,For obesity,As food
Gardenia_JasminoidesGardenia,Flower tea,Anxiety/sleep support,Evening
Gymnema_sylvestre_Retz._R.Br.Ex_Sm.Australian_Milkwort,Leaf extract,Reduces sugar absorption,After meals
Hedychium_spicatum_Buch._Ham._Ex_Sm.Spiked_ginger_lily,Rhizome powder,Expectorant (decoction),Daily
Hellenia_speciosa_J.Koenig_Govaerts.Cape_ginger,Shoots,Used as food in stews,Food
Hibiscus_rosasinensisRed_Hibiscus,Flower paste,For hair/skin (topical),Daily
Homalomena_aromatica_schottGandhi_root,Root paste,Used as spice or externally,Food/topical
Houttuynia_CordataFish_mint,Leaf juice,Detox and cooling,Daily
Hygrophila_AuriculataSwamp_weed,Root decoction,Traditional diuretic,Once daily
Jatropha_Curcas_LPhysic_nut,Oil,External use for wounds,Topical as needed
Justicia_Adhatoda_LMalabar_nut,Leaf decoction,For cough and asthma,2-3 times daily
Kaempferia_GalangaAromatic_ginger,Root,Added to food or as expectorant,Food/daily
Kalanchoe_Pinnata_Lam._PersMiracle_leaf,Leaf juice,Wound healing or skin issues,As needed
Lasia_Spinosa_L._ThwaitesLesia,Petioles,Cooked as vegetable,With meals
Lawsonia_inermis_LHenna,Leaf paste,For coloring hair,Topical as needed
Leucas_aspera_LinkThumba,Leaf decoction,Cough relief,Once daily
Mentha_arvensis_LCorn_Mint,Fresh leaves,Add to food for digestive/cooling,Daily
