plant_name,common_name,assamese_name,description,medicinal_uses,parts_used,family
Abelmoschus_moschatus_medikAmbrette_,Ambrette,Unknown,"Herb with fragrant seeds, used in perfumes.","Used in traditional medicines for stomach disorders.",Seeds,Malvaceae
Aegle_marmelos_L._corrêaWood_apple,Wood Apple,Bael,"Tree with spiny branches and aromatic leaves.","Fruit pulp used for digestive issues and diabetes.",Fruit,Rutaceae
Aerva_sanguinolentaKaradia,Karadia,Unknown,"Erect herb with woolly stems, common in India.","Used for kidney health and wounds.",Whole plant,Amaranthaceae
Aloe_vera_L._burm.FAloe_Vera,Aloe Vera,Ghrit Kumari,"Succulent herb with fleshy leaves, gel inside.","Gel used for burns, skin, and digestion.",Leaves,Xanthorrhoeaceae
Alpinia_galanga_L._wildBlue_ginger,Blue Ginger,Unknown,"Perennial herb with aromatic rhizomes.","Rhizome used to treat indigestion and cold.",Rhizome,Zingiberaceae
Andrographis_paniculata_Burm.F._WallGreen_Chiretta,Green Chiretta,Unknown,"Annual herb with bitter leaves.","Leaves used for fever and immunity.",Leaves,Acanthaceae
Aquilaria_malaccensisEagle_wood,Eaglewood,Agarwood,"Tree producing aromatic resin used in incense.","Resin used for calming and as an antiseptic.",Resin,Thymelaeaceae
Aristolochia_indica_LIndian_Birthwort,Indian Birthwort,Unknown,"Climber with heart-shaped leaves.","Root used for rheumatism and fever.",Root,Aristolochiaceae
Artemisia_absinthium_LCommon_Wormwood,Common Wormwood,Unknown,"Herb with silvery leaves, aromatic.","Used to stimulate appetite and fight parasites.",Leaves,Asteraceae
Azadirachta_indica[Meliaceae]Indian_lilac,Indian Lilac,Neem,"Well-known tree with bitter leaves.","Leaves and oil for skin diseases, pest control.",Leaves/Seeds,Meliaceae
Bacopa_monnieri_L._WettstWater_hyssop,Water Hyssop,Brahmi,"Creeping herb used in Ayurveda.","Enhances memory and relieves anxiety.",Whole plant,Plantaginaceae
Belamcanda_chinensis_L._redoutéBlackberry_lily,Blackberry Lily,Unknown,"Herb with spotted flowers.","Rhizome used for cough and throat ailments.",Rhizome,Iridaceae
Bixa_orellana_LLipstick_tree,Lipstick Tree,Unknown,"Shrub with spiny capsules containing red seeds.","Seeds used for coloring food and as antioxidant.",Seeds,Bixaceae
Boerhavia_diffusaRed_spiderling,Red Spiderling,Punarnava,"Prostrate weed with red stems and leaves.","Used for kidney, liver problems, and rejuvenation.",Roots,Nyctaginaceae
Breynia_androgyna_L._Star_gooseberry,Star Gooseberry,Unknown,"Shrub with small green berries.","Leaves and fruit treat cough, digestive disorders.",Leaves/Fruit,Phyllanthaceae
Brucea_mollis_Wall._Ex_KurzKunain,Kunain,Unknown,"Small tree/shrub with bitter fruit.","Fruit used for malaria and fever.",Fruit,Simaroubaceae
Canna_indica_LIndian_shot,Indian Shot,Unknown,"Herbaceous plant with showy flowers.","Rhizome and seeds for diuretic and fever relief.",Rhizome/Seeds,Cannaceae
Cassia_fistula_LGolden_Shower_Tree,Golden Shower Tree,Piliga,"Tree with bright yellow hanging flowers.","Pulp treats constipation and skin infections.",Fruit pulp,Fabaceae
Catharanthus_roseus_L._G.DonMadagascar_periwinkle,Madagascar Periwinkle,Unknown,"Flowering shrub, source of anti-cancer alkaloids.","Used in cancer drugs and diabetes treatment.",Leaves/Roots,Apocynaceae
Centella_asiatica_L._UrbAsiatic_pennywort,Asiatic Pennywort,Unknown,"Creeping plant with fan-shaped leaves.","Improves memory and heals wounds.",Leaves,Apiaceae
Chamaecostus_cuspidatus_Nees_&_Mart._Asst._Costus,Costus,Unknown,"Rhizomatous herb, thick fleshy leaves.","Used for diabetes and anti-inflammatory.",Leaves,Costaceae
Cinnamomum_tamala_T.Nees_&_Eberm.,Indian Bay Leaf,Tejpat,"Tree with fragrant bark and leaves.","Leaves used for flavor, digestion, and diabetes.",Leaves,Lauraceae
Cinnamomum_verum_J.PreslTrue_cinnamon,True Cinnamon,Tejpat,"Evergreen tree, aromatic bark and leaves.","Flavoring, diabetes support.",Bark/L,Lauraceae
